LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,UN
1750975683.000000,142088,20142,2,UN,1,100,94
1750975686.000000,144860,20575,2,UN,1,100,97
1750975689.000000,147538,21005,2,UN,1,100,97
1750975691.000000,150390,21454,2,UN,1,100,97
1750975694.000000,153057,21869,2,UN,1,100,97
1750975697.000000,156241,22365,2,UN,1,100,97
1750975700.000000,158580,22732,2,UN,1,100,97
1750975702.000000,161140,23136,2,UN,1,100,97
1750975705.000000,163804,23550,2,UN,1,100,97
1750975708.000000,166666,23995,2,UN,1,100,97
1750975710.000000,169230,24378,2,UN,1,100,97
1750975713.000000,171792,24785,2,UN,1,100,97
1750975715.000000,174351,25181,2,UN,1,100,98
1750975718.000000,176933,25570,2,UN,1,100,98
1750975720.000000,179367,25951,2,UN,1,100,98
1750975723.000000,181923,26355,2,UN,1,100,98
1750975725.000000,184391,26690,2,UN,1,100,98
1750975728.000000,186947,27093,2,UN,1,100,98
1750975731.000000,189508,27495,2,UN,1,100,98
1750975733.000000,192062,27900,2,UN,1,100,98
1750975736.000000,194534,28296,2,UN,1,100,98
1750975738.000000,197123,28699,2,UN,1,100,97
1750975741.000000,199757,29111,2,UN,1,100,97
1750975743.000000,202409,29512,2,UN,1,100,97
1750975746.000000,204976,29908,2,UN,1,100,97
1750975749.000000,207532,30299,2,UN,1,100,97
1750975751.000000,210293,30726,2,UN,1,100,97
1750975754.000000,212948,31148,2,UN,1,100,97
1750975757.000000,215715,31576,2,UN,1,100,97
1750975759.000000,218276,31978,2,UN,1,100,97
1750975762.000000,220837,32330,2,UN,1,100,97
1750975765.000000,223534,32764,2,UN,1,100,97
1750975767.000000,226168,33176,2,UN,1,100,97
1750975770.000000,228731,33564,2,UN,1,100,97
1750975772.000000,231289,33962,2,UN,1,100,98
1750975775.000000,233849,34365,2,UN,1,100,98
1750975777.000000,236557,34782,2,UN,1,100,98
1750975780.000000,238875,35148,2,UN,1,100,98
1750975782.000000,241422,35544,2,UN,1,100,98
